,Country,Date Start,Description of measure implemented
26,South Korea,"Mar 04, 2020",Gyeongsan-city- added to infectious disease special management city 
550,Czechia,"Mar 03, 2020","On Tuesday, March 3, 2020, the Ministry of Health issued an emergency measure banning the export of all FFP3-class respirators outside the Czech Republic and its sale to all outside health and social facilities, public health authorities, the Integrated Rescue Service system and other state administration bodies."
336,Belarus,"Mar 03, 2020","As of 3 March, there were four confirmed cases in Belarus.[4]"
686,US:California,"Mar 03, 2020",24 more cases
1598,Brazil,"Mar 03, 2020",Mechanical Turk data n=70
1523,US: Connecticut,"Mar 03, 2020","Southern Connecticut State University suspended all institutionally-supported travel to nations including Italy, China, South Korea, and Japan"
674,Iran,"Mar 03, 2020","Government temporarily release 54,000 prisoners from jail to combat spread"
30,South Korea,"Mar 02, 2020","For patients with COVID-19 positive, state and municipals medical staffs divide them into 4 levels depend on the severity. Critical patients straightforwardly hospitalise to negative pressure room and specialised infectious disease hospital"
689,US:California,"Mar 02, 2020",3 more cases
823,Andorra,"Mar 02, 2020","On 2 March, Andorra confirmed its first coronavirus case, a 20-year-old man who had returned from Milan. The tests conducted have shown a positive infection, and he will remain in hospital for further tests and his immediate social circle will be monitored, the government said in a statement. He was discharged on 8 March"
757,Italy,"Mar 02, 2020","University of Bologna planned to set up a remote teaching project in which exams and lessons would be delivered to students online, to be partially completed on 2 March"
860,Croatia,"Mar 02, 2020","On 2 March, Zagreb Philharmonic Orchestra issued a statement that their joint concert with Filarmomica di Milano conducted by Daniele Gatti, set to be held in Vatroslav Lisinski Concert Hall on 10 March, had been cancelled due to the Italian orchestra coming from the affected Italian area which would've increased the risk of exposure to the virus."
532,Romania,"Mar 02, 2020","More preventive measures were taken by the National Committee for Special Emergency Situations. Thus, citizens arriving from other provinces or cities in mainland China, other localities in Lombardy, Veneto or Emilia-Romagna regions of Italy, as well as other areas and localities in South Korea and Iran than those specifically mentioned for the establishment of the institutionalized quarantine measure, enter into self-isolation at home, for 14 days, immediately after returning to Romania."
27,South Korea,"Mar 02, 2020",Ministry of Education- provide e-learning resources to students for free so students can preview contents before the semester begins 
1418,Morocco,"Mar 02, 2020",FIrst case confirmed
31,South Korea,"Mar 02, 2020",KCDC announced national disinfecting strategy in public spaces to damage minimisation. 
28,South Korea,"Mar 02, 2020","Ministry of Education- postponed commencement of kindergarten, primary and high schools for another two weeks (9 March to 23 March)  "
1292,Nepal,"Mar 02, 2020","The Supreme Court issued an interim order to suspend flights to and from countries affected by the disease, in response to a public interest litigation. The government issued a travel advisory against non-essential travel to countries hardest hit by the disease, including China, Iran, South Korea, Japan and Italy."
1399,US:New York,"Mar 02, 2020","ayor Bill de Blasio tweeted that people should ignore the virus and ""go on with your lives + get out on the town despite Coronavirus"""
439,Iceland,"Mar 02, 2020","From 2 March, healthcare workers in Iceland were being encouraged to avoid travel and to remain in the country."
29,South Korea,"Mar 02, 2020","For monitoring purpose, patients who carry potential risks after release from hospital- allocated to regional 'monitoring centre' in national accommodation facilities or hotels, monitor potential further symptoms and provide living & medical supports"
755,Italy,"Mar 02, 2020","The Italian Minister of University and Research, Gaetano Manfredi, announced that online lessons would be delivered to students in areas affected by the outbreak starting on 2 March"
693,US:California,"Mar 02, 2020",Two more cases
459,Latvia,"Mar 02, 2020",On 2 March the Latvian Ministry of Health confirmed the first case of COVID-19 in Latvia. The infected person was a woman who had flown from Milan to Riga through Munich.
310,Azerbaijan,"Mar 02, 2020","On 2 March, educational processes and other related activities were suspended from 3–9 March in all educational institutions across the country to prevent the spread of COVID-19 infection,"
497,Portugal,"Mar 02, 2020",Portugal confirmed its first two cases.
925,Croatia,"Mar 02, 2020","On 2 March, the first flights to Zagreb were cancelled at 9:50 AM (CET).[48] Korean Air also announced that it would be cancelling flights on the Seoul-Zagreb line (which had been due to begin on 31 March) until 23 April."
464,Ireland,"Mar 01, 2020","Initially, some schools around the country were closed and pupils were instructed to self-isolate."
765,Italy,"Mar 01, 2020","On 1 March, the Council of Ministers approved a decree to organise the containment of the outbreak. In the decree, the Italian national territory was divided into three areas:[242]
A red zone (composed of the municipalities of Bertonico, Casalpusterlengo, Castelgerundo, Castiglione D'Adda, Codogno, Fombio, Maleo, San Fiorano, Somaglia and Terranova dei Passerini in Lombardy, and the municipality of Vò in Veneto), where the whole population is in quarantine.
A yellow zone (composed of the regions of Lombardy, Veneto and Emilia-Romagna), where social and sport events are suspended and schools, theatres, clubs and cinemas are closed.
The rest of the national territory, where safety and prevention measures are advertised in public places and special sanitisations are performed on means of public transport."
1670,US: Rhode Island,"Mar 01, 2020",The first two confirmed positive cases of coronavirus in Rhode Island are identified
1386,US:New York,"Mar 01, 2020",The first case of COVID-19 in New York was confirmed on March 1
787,Austria,"Mar 01, 2020","Beginning from 1 March, authorities in Germany and the Nordic countries begun identifying Tyrolean ski resort town of Ischgl as a major coronavirus hotspot. Several hundred infections were eventually traced back to the town with transmissions having occured from late February on."
32,South Korea,"Mar 01, 2020",Both ministry of education in Korea and China agreed to discourage both Korean and China international students to enter into both countries for upcoming semester until COVID19 resolved.  (if they enter in either nations- special entry procedure will be implemented) 
344,Belgium,"Mar 01, 2020","The mayor of Sint-Lambrechts-Woluwe, Olivier Maingain, was one of the only mayors to take measures to prevent the spreading of the new corona virus by restricting access to schools, preschools, sports facilities and public places for persons returning from areas at risk.[29]"
1593,Taiwan,"Mar 01, 2020","In Taiwan, most public buildings, such as schools, train stations, restaurants and apartment buildings, have automatic hand sanitizing dispensers outside, with signs urging people to disinfect their hands before entering."
545,Czechia,"Mar 01, 2020","On Sunday, March 1, 2020, Minister of Health Adam Vojtěch announced confirmation of the first three cases of COVID-19 infection in the Czech Republic. All three patients, two Czechs and one student of American nationality, were isolated at the Na Bulovce Infectious Department. The health status of all hospitalized patients was satisfactory, the course of the infection at the time of their hospitalization was mild."
610,Russia,"Mar 01, 2020","The Russian government temporarily barred  entry of South Korean citizens from March 1 as a precaution against the spread of coronavirus, decrees published online showed. Moscow will suspend flights between Russia and South Korea from March 1 over coronavirus fears, except those operated by Aeroflot and Aurora, Deputy Prime Minister Tatiana Golikova said."
